Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-01-02 00:00:00-05:00,36.985090860587775,37.930672942698,36.8274932396463,37.70860290527344,148158800,0.0,0.0,AAPL
2019-01-03 00:00:00-05:00,34.37996500461738,34.79544861163196,33.90717582666171,33.952545166015625,365248800,0.0,0.0,AAPL
2019-01-04 00:00:00-05:00,34.51128421717135,35.47119227205895,34.33697376091173,35.40194320678711,234428400,0.0,0.0,AAPL
2019-01-07 00:00:00-05:00,35.507018312029935,35.53806125654515,34.83842542922638,35.32315444946289,219111200,0.0,0.0,AAPL
2019-01-08 00:00:00-05:00,35.71236877143383,36.2520204396242,35.46403616672354,35.99652099609375,164101200,0.0,0.0,AAPL
2019-01-09 00:00:00-05:00,36.1254684279678,36.89912644465085,35.7290915272066,36.607810974121094,180396400,0.0,0.0,AAPL
2019-01-10 00:00:00-05:00,36.414396830894425,36.765408029534306,36.02279297137257,36.724815368652344,143122800,0.0,0.0,AAPL
2019-01-11 00:00:00-05:00,36.505138707955666,36.700938833098775,36.17800358754081,36.364253997802734,108092800,0.0,0.0,AAPL
2019-01-14 00:00:00-05:00,36.020414656522526,36.12070307275241,35.63119722599241,35.817447662353516,129756800,0.0,0.0,AAPL
2019-01-15 00:00:00-05:00,35.88190613728261,36.62690759306695,35.82937360965292,36.550498962402344,114843600,0.0,0.0,AAPL
2019-01-16 00:00:00-05:00,36.552891948161815,37.2214848915979,36.53378887623068,36.99702835083008,122278800,0.0,0.0,AAPL
2019-01-17 00:00:00-05:00,36.820321034372775,37.646511439735995,36.595864534044246,37.21670150756836,119284800,0.0,0.0,AAPL
2019-01-18 00:00:00-05:00,37.60830491081558,37.69904357431026,37.24535390037461,37.4459342956543,135004000,0.0,0.0,AAPL
2019-01-22 00:00:00-05:00,37.348034120841504,37.42444275391004,36.443044892915836,36.60541915893555,121576000,0.0,0.0,AAPL
2019-01-23 00:00:00-05:00,36.80838279224685,37.04477917629914,36.223365412542684,36.75346374511719,92522400,0.0,0.0,AAPL
2019-01-24 00:00:00-05:00,36.79883920993108,36.8871877322328,36.23292480528311,36.462154388427734,101766000,0.0,0.0,AAPL
2019-01-25 00:00:00-05:00,37.12596257246901,37.7587394146281,36.84897719023607,37.670387268066406,134142000,0.0,0.0,AAPL
2019-01-28 00:00:00-05:00,37.19999190014286,37.328936725631145,36.69138672538345,37.321773529052734,104768400,0.0,0.0,AAPL
2019-01-29 00:00:00-05:00,37.30982741823408,37.758740427662374,36.798832167655455,36.9349365234375,166348800,0.0,0.0,AAPL
2019-01-30 00:00:00-05:00,38.981315491599865,39.67378456971669,38.26018998268238,39.45888137817383,244439200,0.0,0.0,AAPL
2019-01-31 00:00:00-05:00,39.66423174576361,40.354314252024146,39.294117483975256,39.7430305480957,162958400,0.0,0.0,AAPL
2019-02-01 00:00:00-05:00,39.867188149911655,40.349526906682456,39.62123845056961,39.762123107910156,130672400,0.0,0.0,AAPL
2019-02-04 00:00:00-05:00,39.97464559637826,40.98947290698216,39.9436026538865,40.891571044921875,125982000,0.0,0.0,AAPL
2019-02-05 00:00:00-05:00,41.27601783553029,41.80611623687875,41.1542398516945,41.591209411621094,144406400,0.0,0.0,AAPL
2019-02-06 00:00:00-05:00,41.70343564294899,41.9231191363072,41.273629300518444,41.60553741455078,112958400,0.0,0.0,AAPL
2019-02-07 00:00:00-05:00,41.166167815343954,41.533895497720685,40.6742756564197,40.81754684448242,126966800,0.0,0.0,AAPL
2019-02-08 00:00:00-05:00,40.52498733783649,40.9254645995137,40.38829558775916,40.86551284790039,95280000,0.1825,0.0,AAPL
2019-02-11 00:00:00-05:00,41.01899064597376,41.057360646571766,40.58733728715776,40.63050079345703,83973600,0.0,0.0,AAPL
